Comunidades autónomas;País de residencia;Meses;Total
Galicia;Polonia;Agosto;31
Galicia;Polonia;Setiembre;374
Galicia;Polonia;Octubre;133
Galicia;Polonia;Noviembre;25
Galicia;Polonia;Diciembre;13
Galicia;República Checa;Enero;27
Galicia;República Checa;Febrero;106
Galicia;República Checa;Marzo;97
Galicia;República Checa;Abril;94
Galicia;República Checa;Mayo;629
Galicia;República Checa;Junio;26
Galicia;República Checa;Julio;142
Galicia;República Checa;Agosto;54
Galicia;República Checa;Setiembre;47
Galicia;República Checa;Octubre;97
Galicia;República Checa;Noviembre;43
Galicia;República Checa;Diciembre;.
Galicia;Suiza y Liechtenstein;Enero;49
Galicia;Suiza y Liechtenstein;Febrero;235
Galicia;Suiza y Liechtenstein;Marzo;196
Galicia;Suiza y Liechtenstein;Abril;403
Galicia;Suiza y Liechtenstein;Mayo;593
Galicia;Suiza y Liechtenstein;Junio;577
Galicia;Suiza y Liechtenstein;Julio;1.404
Galicia;Suiza y Liechtenstein;Agosto;1.024
Galicia;Suiza y Liechtenstein;Setiembre;777
Galicia;Suiza y Liechtenstein;Octubre;634
Galicia;Suiza y Liechtenstein;Noviembre;167
Galicia;Suiza y Liechtenstein;Diciembre;72
Galicia;Turquía;Enero;9
Galicia;Turquía;Febrero;676
Galicia;Turquía;Marzo;9
Galicia;Turquía;Abril;9
Galicia;Turquía;Mayo;45
Galicia;Turquía;Junio;47
Galicia;Turquía;Julio;13
Galicia;Turquía;Agosto;9
Galicia;Turquía;Setiembre;9
Galicia;Turquía;Octubre;13
Galicia;Turquía;Noviembre;9
Galicia;Turquía;Diciembre;.
Galicia;Rusia;Enero;49
Galicia;Rusia;Febrero;55
Galicia;Rusia;Marzo;44
Galicia;Rusia;Abril;9
Galicia;Rusia;Mayo;77
Galicia;Rusia;Junio;29
Galicia;Rusia;Julio;108
Galicia;Rusia;Agosto;46
Galicia;Rusia;Setiembre;60
Galicia;Rusia;Octubre;21
Galicia;Rusia;Noviembre;70
Galicia;Rusia;Diciembre;44
Galicia;Otros países europeos;Enero;158
Galicia;Otros países europeos;Febrero;203
Galicia;Otros países europeos;Marzo;430
Galicia;Otros países europeos;Abril;264
Galicia;Otros países europeos;Mayo;309
Galicia;Otros países europeos;Junio;361
Galicia;Otros países europeos;Julio;997
Galicia;Otros países europeos;Agosto;319
Galicia;Otros países europeos;Setiembre;656
Galicia;Otros países europeos;Octubre;571
Galicia;Otros países europeos;Noviembre;252
Galicia;Otros países europeos;Diciembre;325
Galicia;Países africanos;Enero;112
Galicia;Países africanos;Febrero;152
Galicia;Países africanos;Marzo;206
Galicia;Países africanos;Abril;84
Galicia;Países africanos;Mayo;244
Galicia;Países africanos;Junio;95
Galicia;Países africanos;Julio;450
Galicia;Países africanos;Agosto;194
Galicia;Países africanos;Setiembre;231
Galicia;Países africanos;Octubre;230
Galicia;Países africanos;Noviembre;314
Galicia;Países africanos;Diciembre;258
Galicia;Argentina;Enero;1.151
Galicia;Argentina;Febrero;725
Galicia;Argentina;Marzo;1.385
Galicia;Argentina;Abril;1.527
Galicia;Argentina;Mayo;1.962
Galicia;Argentina;Junio;2.789
Galicia;Argentina;Julio;2.687
Galicia;Argentina;Agosto;2.113
Galicia;Argentina;Setiembre;2.803
Galicia;Argentina;Octubre;1.499
Galicia;Argentina;Noviembre;512
Galicia;Argentina;Diciembre;411
Galicia;Brasil;Enero;379
Galicia;Brasil;Febrero;712
Galicia;Brasil;Marzo;276
Galicia;Brasil;Abril;911
Galicia;Brasil;Mayo;1.079
Galicia;Brasil;Junio;1.418
Galicia;Brasil;Julio;1.219
Galicia;Brasil;Agosto;894
Galicia;Brasil;Setiembre;967
Galicia;Brasil;Octubre;562
Galicia;Brasil;Noviembre;259
Galicia;Brasil;Diciembre;260
Galicia;Cánada;Enero;53
Galicia;Cánada;Febrero;32
Galicia;Cánada;Marzo;252
Galicia;Cánada;Abril;283
Galicia;Cánada;Mayo;247
Galicia;Cánada;Junio;334
Galicia;Cánada;Julio;329
Galicia;Cánada;Agosto;107
Galicia;Cánada;Setiembre;236
Galicia;Cánada;Octubre;389
Galicia;Cánada;Noviembre;43
Galicia;Cánada;Diciembre;27
Galicia;Estados Unidos;Enero;358
Galicia;Estados Unidos;Febrero;524
Galicia;Estados Unidos;Marzo;1.823
Galicia;Estados Unidos;Abril;1.770
Galicia;Estados Unidos;Mayo;2.755
Galicia;Estados Unidos;Junio;4.319
Galicia;Estados Unidos;Julio;6.128
Galicia;Estados Unidos;Agosto;2.827
Galicia;Estados Unidos;Setiembre;2.725
Galicia;Estados Unidos;Octubre;1.677
Galicia;Estados Unidos;Noviembre;1.096
Galicia;Estados Unidos;Diciembre;452
Galicia;México;Enero;128
Galicia;México;Febrero;84
Galicia;México;Marzo;271
Galicia;México;Abril;656
Galicia;México;Mayo;744
Galicia;México;Junio;582
Galicia;México;Julio;1.510
Galicia;México;Agosto;1.264
Galicia;México;Setiembre;962
Galicia;México;Octubre;765
Galicia;México;Noviembre;224
Galicia;México;Diciembre;344
Galicia;Venezuela;Enero;91
Galicia;Venezuela;Febrero;167
Galicia;Venezuela;Marzo;111
Galicia;Venezuela;Abril;264
Galicia;Venezuela;Mayo;299
Galicia;Venezuela;Junio;341
Galicia;Venezuela;Julio;474
Galicia;Venezuela;Agosto;1.096
Galicia;Venezuela;Setiembre;622
