"País.de.residencia","Meses","Total","Year"
"Bélgica",2,294,2006
"Bélgica",3,341,2006
"Bélgica",4,548,2006
"Bélgica",5,1465,2006
"Bélgica",6,1418,2006
"Bélgica",7,1945,2006
"Bélgica",8,1481,2006
"Bélgica",9,1804,2006
"Bélgica",10,1660,2006
"Bélgica",11,215,2006
"Bélgica",12,185,2006
"Bélgica",1,203,2007
"Bélgica",2,331,2007
"Bélgica",3,260,2007
"Bélgica",4,541,2007
"Bélgica",5,1975,2007
"Bélgica",6,1608,2007
"Bélgica",7,1729,2007
"Bélgica",8,1641,2007
"Bélgica",9,1757,2007
"Bélgica",10,709,2007
"Bélgica",11,549,2007
"Bélgica",12,195,2007
"Bélgica",1,130,2008
"Bélgica",2,160,2008
"Bélgica",3,511,2008
"Bélgica",4,611,2008
"Bélgica",5,1032,2008
"Bélgica",6,1525,2008
"Bélgica",7,1830,2008
"Bélgica",8,1346,2008
"Bélgica",9,1370,2008
"Bélgica",10,645,2008
"Bélgica",11,367,2008
"Bélgica",12,174,2008
"Bélgica",1,229,2009
"Bélgica",2,169,2009
"Bélgica",3,284,2009
"Bélgica",4,538,2009
"Bélgica",5,1061,2009
"Bélgica",6,1886,2009
"Bélgica",7,2123,2009
"Bélgica",8,1225,2009
"Bélgica",9,1581,2009
"Bélgica",10,1734,2009
"Bélgica",11,343,2009
"Bélgica",12,335,2009
"Bélgica",1,134,2010
"Bélgica",2,194,2010
"Bélgica",3,368,2010
"Bélgica",4,451,2010
"Bélgica",5,3136,2010
"Bélgica",6,1903,2010
"Bélgica",7,1956,2010
"Bélgica",8,1694,2010
"Bélgica",9,2257,2010
"Bélgica",10,1145,2010
"Bélgica",11,380,2010
"Bélgica",12,240,2010
"Bélgica",1,141,2011
"Bélgica",2,103,2011
"Bélgica",3,180,2011
"Bélgica",4,324,2011
"Bélgica",5,1902,2011
"Bélgica",6,1115,2011
"Bélgica",7,2450,2011
"Bélgica",8,1818,2011
"Bélgica",9,2401,2011
"Bélgica",10,620,2011
"Bélgica",11,353,2011
"Bélgica",12,177,2011
"Bélgica",1,167,2012
"Bélgica",2,262,2012
"Bélgica",3,310,2012
"Bélgica",4,678,2012
"Bélgica",5,1888,2012
"Bélgica",6,2005,2012
"Bélgica",7,1992,2012
"Bélgica",8,1877,2012
"Bélgica",9,1916,2012
"Bélgica",10,813,2012
"Bélgica",11,172,2012
"Bélgica",12,179,2012
"Bélgica",1,102,2013
"Bélgica",2,158,2013
"Bélgica",3,226,2013
"Bélgica",4,809,2013
"Bélgica",5,2303,2013
"Bélgica",6,2128,2013
"Bélgica",7,2355,2013
"Bélgica",8,1396,2013
"Bélgica",9,2243,2013
"Bélgica",10,861,2013
"Bélgica",11,363,2013
"Bélgica",12,220,2013
"Bélgica",1,159,2014
"Bélgica",2,169,2014
"Bélgica",3,434,2014
"Bélgica",4,908,2014
"Bélgica",5,2278,2014
"Bélgica",6,2012,2014
"Bélgica",7,3319,2014
"Bélgica",8,2336,2014
"Bélgica",9,2970,2014
"Bélgica",10,1009,2014
